id,text,label
7.11E+17,RT @ZaidJilani: Bill Clinton suggested to Trump that he run. Trump did run. Neither camp denies it. https://t.co/57tCpXvyp1,neutral
7.11E+17,"RT @MeechIsDEAD: @realDonaldTrump I Spit on every Building I Pass with The Name TRUMP on it.Just Letting You know.",negative
7.11E+17,"RT @CA4Kasich: Going to pretend they don't ""change rules"" before every convention? If Trump doesn't have 1237, he doesn't have nom https://ду_",neutral
7.11E+17,RT @jaylannc: Let me tell you about my God https://t.co/ayFDzNxO4P,negative
7.11E+17,"@FemalesForTrump @MittRomney why don't mitt just stay out of it, mitt is the crazy one that talked so highly of trump 4 years ago, hes a POS",neutral
7.11E+17,Given American history that is a very great compliment  https://t.co/0ymV16Jk6Z,positive
7.11E+17,RT @MrsW101495: They just keep coming at #Trump from all directions @HouseCracka @WSJ,neutral
7.11E+17,RT @GlennFranco68: Newt Gingrich: 'The Only President Remotely Like Trump is Andrew Jackson' - Breitbart https://t.co/wjGHG53hk8,neutral
7.11E+17,@ChrisChristie Trumptard https://t.co/Rg6xqjVGv2,negative
7.11E+17,PHOTOS. Des comptes Instagram de fashionistas muslmanes piratн©s avec une vidн©o de Trump https://t.co/jjDoElm4hP https://t.co/4WKItd2tLj,neutral
7.11E+17,RT @rasalom666: Shocker! Point out to Mark Trump being sued for FRAUD by NY&amp;victims he blocks me! FACTS HURT TRUMPOIDS! #NeverTrump https:/ду_,negative
7.11E+17,As a lot of other things...but well.  https://t.co/TBpE0lcyZ5,negative
7.11E+17,RT @studioexec1: Friday Night Lights with Donald Trump's dead best friend https://t.co/qFO48IolWg,neutral
7.11E+17,@DMarieGemLover @NeilTurner_ @realDonaldTrump Cruz people forming Trump supporter blacklist 1A for Ted no 1A for Trump supporter,negative
7.11E+17,RT @wstaar1: @megynkelly  Trump supporters don't riot.  We're too busy working.,positive
7.11E+17,T.I. Tells Donald Trump Fans Donду»t Buy His Music: дуќ - https://t.co/PIrYv5Sc67 https://t.co/xOKTgbqxSI https://t.co/dLiweKTwW2,negative
7.11E+17,RT @WesleyRickard: Representative John R Bennett Oklahoma Strong Against Illegal Immigration Endorses Donald J Trump for President #AZ httpду_,positive
7.11E+17,"RT @mckaycoppins: I reported last month that Romney had privately said Cruz was ""not my cup of tea."" https://t.co/narvBnN9u3 But he consideду_",neutral
7.11E+17,T.I. Tells Donald Trump Fans Donду»t Buy His Music: дуќ - https://t.co/G339sjC5NI https://t.co/mzHtS1ybGR https://t.co/SvUlzglYiS,negative
7.11E+17,@RoseyDavis1 @dsgold  something coming down the pike and it is going to be huuuuuge lol alas not in petty tyrant trump's favor !! :)  Peace!,negative
7.11E+17,"Trump presidency a threat to world economy, says risk report https://t.co/WM9ILTDiFb",negative
7.11E+17,Donald Trump -- Letter With Suspicious White Powder Sent to Son https://t.co/GZFc6Is4eD,negative
7.11E+17,RT @priiincessaurum: You could work with Trump? But not Obama?  https://t.co/TKIxG14ueZ,neutral
7.11E+17,T.I. Tells Donald Trump Fans Donду»t Buy His Music: дуќ - https://t.co/APJlbNkRtF https://t.co/scppGO9LTZ https://t.co/BGSIDL4cP6,negative
7.11E+17,RT @WesleyRickard: Brent A Jones R Nevada Strong Opponent to Common Core Endorses Donald J Trump for President #AZ #CA #NE #ccot #tcot httpду_,positive
7.11E+17,"RT @amrightnow: ""The Real Trump"" Trump About You"" Watch Make #1 https://t.co/j58e8aacrE #tcot #pjnet #1A #2A #Trump #trump2016 https://t.coду_",positive
7.11E+17,RT @Poppy103115: CRITICALLLLLL !!!!!!!!!!!!   #VoteTrump  https://t.co/0aD2OPH3j3,positive
7.11E+17,"RT @AdamBaldwin: Stupid...https://t.co/FhhgWNw4ab",negative
7.11E+17,"RT @ZaidJilani: It might help if Hillary was a consistent ally to these groups, and she isn't? https://t.co/wzdti6KSv5",neutral
7.11E+17,"RT @TeamTrumpAZ: Link To Trump voter info in Arizona  https://t.co/YLV14JMBcz Primary Day 3/22/16#ArizonaPrimary  #volunteer #Trump https:ду_",positive
7.11E+17,"RT @SooperMexican: Every Trumpers response to this is ""but there's other people running!"" which means they want monarchical coronation httpду_",negative
7.11E+17,RT @TeaPainUSA: Trump supporters are angrier than ever. Many of 'em just found out about the 13th amendment.,negative
7.11E+17,"RT @amandacarpenter: Endorse: ""I Will Never Vote for Trump, and if He Loses to Hillary it Will be His Fault, not Mine""  https://t.co/nJczguду_",negative
7.11E+17,"RT @TheLoudMajority: IF the GOP Gets on the #TrumpTrain, there is no reason not to have a #SuperMajority!#Trump2016#GOP#MAGA#Trump httду_",positive
7.11E+17,RT @trrvisXX: When Trump and Clinton your leading presidential candidates... https://t.co/uSm1m501an,neutral
7.11E+17,"RT @immigrant4trump: Mitt Romney announces he will be voting for Ted Cruz, Another Reason To Vote Trump @MittRomney #Trump2016 #VoteTrump hду_",positive
7.11E+17,"RT @JohnGGalt: Women stop talking to me after telling them I support Trumpдуоbut that's okay, English isn't their first language.#MakeAmericду_",positive
7.11E+17,Black Panther/Muslims/orKlan With a Tan all threatening Mr. Trump. https://t.co/yQffE7Wi6M,negative
7.11E+17,"Time to Blackball the elitist sow, Carpenter,  and treat them to some of their own games. https://t.co/Ag3TnG9dwu",neutral
7.11E+17,"RT @juandemariana: Make America free again: A estas alturas puede decirse que Donald Trump pasarнз, como poco, como el fenн_meno de... https:ду_",positive
7.11E+17,"RT @camefromempires: Trump did more than get a crossover vote, he changed my entire belief system. I'll never vote for modern-Democratic poду_",positive
7.11E+17,"@Bidenshairplugs why r u voting Trump? Do u always vote liberal? U mustve voted for Ob twice, John Kerry in 04, Gore 2000 &amp; of course BJ",negative
7.11E+17,"RT @YoungBLKRepub: Trump supporters can't tell a difference between Trump &amp; Hillary quotes.https://t.co/dlqa71IpRK",neutral
7.11E+17,A Complete List of Donald Trumpду»s Business Disasters https://t.co/Aqec9jdVLV #tech #technology,negative
7.11E+17,"Really, Trump is unleashing, really. People went to a rally to hear Trump. Not Buries, not BLMers. Troublemakers. https://t.co/puIZx4Wmcl",positive
7.11E+17,"RT @MikeDelMoro: Another prelim exit poll nugget:Among non-Trump voters today, 44 percent say they also DEFINITELY would not support Trumду_",negative
7.11E+17,"RT @SCClemons: To defend our democracy against Trump, the GOP must aim for a brokered convention - The - https://t.co/m0roJ04axT https://t.ду_",negative
7.11E+17,Media corruption at its finest.  Comeuppance brings ratings too. #LoveTrumpsHate  https://t.co/CdweVy5XRP,negative
7.11E+17,".@JudgeJeanine whats to prepare?we know itll be praise for #Trump, who donated $20K to your 06 AG run YOU REFUSE to disclose to viewers",negative
7.11E+17,It's not that serious  https://t.co/4dZXhNHgE7,neutral
7.11E+17,I liked a @YouTube video https://t.co/Sb22lwQL7R Donald Trump And Muslims) Donald Connection With ISIS,negative
7.11E+17,"@michaelbrne @realDonaldTrump on a real note, how do Mormons feel about Trump?",neutral
7.11E+17,Anonymous may have just released Donald Trumpду»s personal info https://t.co/driXnUhrR8 https://t.co/mv1n8G7XtQ,neutral
7.11E+17,"RT @benshapiro: Perhaps he meant Quiet Riots. I mean, just as long as we're throwing bulls*** out there. https://t.co/FeDlCe1Osn",negative
7.11E+17,@TIME THE children are running around saying it's going to be a woman's world you bash TRUMP but you never say anything about GAY HILLARY,neutral
7.11E+17,"""Don't worry, Trump won't win"" guy you understand that means ted cruz? right? my guy there is no good choicet hree",negative
7.11E+17,"RT @motivtosuccess: нЉtant donnн© que vous allez penser de toute faн_on, pensez donc Grand! Donald Trump",neutral
